Date,State,Manufacturer,Units,Revenue,Market Share %
2024-09-30,PA,Abbas,157,19129.47,0.1557
2024-09-30,PA,Natura,605,39294.56,0.1715
2024-09-30,PA,Piraki,123,12739.99,0.0794
2024-09-30,PA,Palma,602,64288.13,0.2672
2024-09-30,PA,Other Competitors,412,36388.73,0.0795
2024-09-30,OH,VanArsdel,436,44289.17,0.1904
2024-09-30,OH,Abbas,454,60538.88,0.2752
2024-09-30,OH,Natura,140,15789.93,0.0741
2024-09-30,OH,Piraki,647,57096.67,0.0897
2024-09-30,OH,Palma,625,69653.81,0.1564
2024-09-30,OH,Other Competitors,70,7304.54,0.327
2024-09-30,GA,VanArsdel,337,49728.49,0.0909
2024-09-30,GA,Abbas,366,47622.88,0.2077
2024-09-30,GA,Natura,109,11829.98,0.2335
2024-09-30,GA,Piraki,472,59653.19,0.2812
2024-09-30,GA,Palma,764,54758.33,0.1713
2024-09-30,GA,Other Competitors,434,63209.75,0.0737
2024-09-30,NC,VanArsdel,555,45165.25,0.1176
2024-09-30,NC,Abbas,388,42935.8,0.0529
2024-09-30,NC,Natura,481,63515.49,0.3397
2024-09-30,NC,Piraki,169,18548.28,0.178
2024-09-30,NC,Palma,282,30112.09,0.2847
2024-09-30,NC,Other Competitors,45,6728.96,0.293
2024-09-30,MI,VanArsdel,486,61336.53,0.1667
2024-09-30,MI,Abbas,692,61371.54,0.3196
2024-09-30,MI,Natura,230,18291.68,0.2154
2024-09-30,MI,Piraki,313,28940.83,0.1977
2024-09-30,MI,Palma,676,69226.5,0.1587
2024-09-30,MI,Other Competitors,259,23580.21,0.2047
2024-10-31,CA,VanArsdel,981,60958.61,0.1165
2024-10-31,CA,Abbas,389,33474.05,0.1675
2024-10-31,CA,Natura,782,64514.09,0.2006
2024-10-31,CA,Piraki,707,51793.03,0.2656
2024-10-31,CA,Palma,486,46033.35,0.2929
2024-10-31,CA,Other Competitors,168,23262.14,0.2183
2024-10-31,NY,VanArsdel,368,50688.12,0.2953
2024-10-31,NY,Abbas,399,50117.16,0.18
2024-10-31,NY,Natura,819,46053.33,0.077
2024-10-31,NY,Piraki,1200,67206.91,0.1008
2024-10-31,NY,Palma,1290,64687.45,0.1347
2024-10-31,NY,Other Competitors,445,48802.9,0.2831
2024-10-31,TX,VanArsdel,425,42944.47,0.2676
2024-10-31,TX,Abbas,382,42396.83,0.3193
2024-10-31,TX,Natura,396,35108.83,0.0511
2024-10-31,TX,Piraki,962,51006.97,0.2012
2024-10-31,TX,Palma,622,65317.53,0.1309
2024-10-31,TX,Other Competitors,830,63962.63,0.2699
2024-10-31,FL,VanArsdel,757,50769.38,0.3215
2024-10-31,FL,Abbas,134,20048.28,0.0522
2024-10-31,FL,Natura,353,24761.25,0.0542
2024-10-31,FL,Piraki,502,59927.59,0.2877
2024-10-31,FL,Palma,256,24252.39,0.2477
2024-10-31,FL,Other Competitors,317,37982.64,0.2402
2024-10-31,IL,VanArsdel,106,13598.59,0.2662
2024-10-31,IL,Abbas,827,54187.58,0.1304
2024-10-31,IL,Natura,442,34488.28,0.1183
2024-10-31,IL,Piraki,574,65401.83,0.2196
2024-10-31,IL,Palma,154,21946.45,0.1074
2024-10-31,IL,Other Competitors,440,64621.32,0.2681
2024-10-31,PA,VanArsdel,690,79464.41,0.1152
2024-10-31,PA,Abbas,246,20286.46,0.0521
2024-10-31,PA,Natura,730,56127.39,0.2946
2024-10-31,PA,Piraki,325,31937.95,0.3397
2024-10-31,PA,Palma,189,23162.91,0.2765
2024-10-31,PA,Other Competitors,215,21574.86,0.1551
2024-10-31,OH,VanArsdel,560,62892.97,0.1928
2024-10-31,OH,Abbas,863,63452.24,0.2761
2024-10-31,OH,Natura,507,69903.07,0.2851
2024-10-31,OH,Piraki,240,35601.06,0.1639
2024-10-31,OH,Palma,800,52896.9,0.3441
2024-10-31,OH,Other Competitors,461,57798.94,0.0697
2024-10-31,GA,VanArsdel,488,62256.34,0.2515
2024-10-31,GA,Abbas,271,26893.22,0.0831
2024-10-31,GA,Natura,542,40369.03,0.1547
2024-10-31,GA,Piraki,235,17195.03,0.073
2024-10-31,GA,Palma,718,73992.6,0.169
2024-10-31,GA,Other Competitors,399,45127.19,0.3266
2024-10-31,NC,VanArsdel,231,18401.97,0.3427
2024-10-31,NC,Abbas,628,32839.47,0.0943
2024-10-31,NC,Natura,46,6975.4,0.1337
2024-10-31,NC,Piraki,496,74265.71,0.23
2024-10-31,NC,Palma,128,7489.72,0.1945
2024-10-31,NC,Other Competitors,320,35462.9,0.1817
2024-10-31,MI,VanArsdel,725,75055.76,0.2581
2024-10-31,MI,Abbas,1116,72236.4,0.1189
2024-10-31,MI,Natura,204,13048.9,0.2038
2024-10-31,MI,Piraki,315,29088.44,0.3447
2024-10-31,MI,Palma,160,16752.83,0.0797
2024-10-31,MI,Other Competitors,281,28887.22,0.334
2024-11-30,CA,VanArsdel,607,34342.12,0.1664
2024-11-30,CA,Abbas,218,15930.59,0.2354
2024-11-30,CA,Natura,104,10056.79,0.2328
2024-11-30,CA,Piraki,705,36639.38,0.3457
2024-11-30,CA,Palma,254,32533.68,0.1477
2024-11-30,CA,Other Competitors,457,40626.26,0.1528
2024-11-30,NY,VanArsdel,77,6638.85,0.3168
2024-11-30,NY,Abbas,879,56779.5,0.2273
2024-11-30,NY,Natura,599,71917.31,0.0946
2024-11-30,NY,Piraki,874,70087.44,0.1862
2024-11-30,NY,Palma,329,44460.71,0.3295
2024-11-30,NY,Other Competitors,1471,74723.97,0.3266
2024-11-30,TX,VanArsdel,118,9079.02,0.2045
2024-11-30,TX,Abbas,371,40994.43,0.1938
2024-11-30,TX,Natura,1013,75078.18,0.1322
2024-11-30,TX,Piraki,1284,74055.35,0.2329
2024-11-30,TX,Palma,558,56130.2,0.2583
2024-11-30,TX,Other Competitors,132,17956.6,0.092
2024-11-30,FL,VanArsdel,609,35060.93,0.2136
2024-11-30,FL,Abbas,383,55230.94,0.2718
2024-11-30,FL,Natura,318,45582.72,0.1935
2024-11-30,FL,Piraki,429,47090.42,0.173
2024-11-30,FL,Palma,990,67886.2,0.2165
2024-11-30,FL,Other Competitors,421,59167.49,0.3152
2024-11-30,IL,VanArsdel,377,43155.52,0.1683
2024-11-30,IL,Abbas,285,40113.33,0.3292
2024-11-30,IL,Natura,1130,72156.05,0.305
2024-11-30,IL,Piraki,883,76127.28,0.2056
2024-11-30,IL,Palma,597,63432.14,0.348
2024-11-30,IL,Other Competitors,322,39178.5,0.2878
2024-11-30,PA,VanArsdel,309,42057.53,0.2138
2024-11-30,PA,Abbas,590,35873.81,0.168
2024-11-30,PA,Natura,422,60045.23,0.1255
2024-11-30,PA,Piraki,483,31642.66,0.2572
2024-11-30,PA,Palma,674,77014.13,0.2351
2024-11-30,PA,Other Competitors,790,46511.74,0.2689
2024-11-30,OH,VanArsdel,431,50153.72,0.3196
2024-11-30,OH,Abbas,498,63797.06,0.3282
2024-11-30,OH,Natura,732,79245.12,0.0827
2024-11-30,OH,Piraki,306,39434.74,0.0583
2024-11-30,OH,Palma,163,9266.56,0.2693
2024-11-30,OH,Other Competitors,490,42587.5,0.0817
2024-11-30,GA,VanArsdel,729,59918.02,0.1296
2024-11-30,GA,Abbas,509,53923.94,0.1587
2024-11-30,GA,Natura,688,53111.56,0.2884
2024-11-30,GA,Piraki,336,22198.92,0.2847
2024-11-30,GA,Palma,850,58091.9,0.0849
2024-11-30,GA,Other Competitors,531,67879.93,0.1482
2024-11-30,NC,VanArsdel,871,54364.81,0.2021
2024-11-30,NC,Abbas,71,6404.77,0.0725
2024-11-30,NC,Natura,440,40636.04,0.1833
2024-11-30,NC,Piraki,97,8399.85,0.2769
2024-11-30,NC,Palma,268,32668.58,0.1608
2024-11-30,NC,Other Competitors,345,36742.96,0.3352
2024-11-30,MI,VanArsdel,247,13164.53,0.2324
2024-11-30,MI,Abbas,511,76182.28,0.1952
2024-11-30,MI,Natura,350,40106.12,0.2167
2024-11-30,MI,Piraki,382,52556.6,0.2739
2024-11-30,MI,Palma,439,42265.8,0.2419
2024-11-30,MI,Other Competitors,409,39177.97,0.0549
2024-12-31,CA,VanArsdel,182,18054.81,0.2968
2024-12-31,CA,Abbas,253,25904.53,0.1535
2024-12-31,CA,Natura,88,12860.3,0.3064
2024-12-31,CA,Piraki,89,10886.93,0.1543
2024-12-31,CA,Palma,992,79613.74,0.1216
2024-12-31,CA,Other Competitors,356,47591.79,0.1078
2024-12-31,NY,VanArsdel,1036,58205.21,0.3257
2024-12-31,NY,Abbas,78,11080.62,0.1972
2024-12-31,NY,Natura,262,38606.83,0.3471
2024-12-31,NY,Piraki,857,53763.36,0.2019
2024-12-31,NY,Palma,440,44687.23,0.2208
2024-12-31,NY,Other Competitors,52,6404.35,0.2637
2024-12-31,TX,VanArsdel,127,13660.23,0.2205
2024-12-31,TX,Abbas,959,56183.78,0.238
2024-12-31,TX,Natura,258,26056.4,0.282
2024-12-31,TX,Piraki,935,57923.45,0.2274
2024-12-31,TX,Palma,1182,77683.74,0.3059
2024-12-31,TX,Other Competitors,452,57691.11,0.1346
2024-12-31,FL,VanArsdel,189,26591.67,0.1579
2024-12-31,FL,Abbas,88,9726.15,0.0874
2024-12-31,FL,Natura,567,64744.72,0.3124
2024-12-31,FL,Piraki,1043,63862.79,0.1643
2024-12-31,FL,Palma,687,63092.02,0.3417
2024-12-31,FL,Other Competitors,1167,60180.53,0.314
2024-12-31,IL,VanArsdel,196,12560.36,0.2703
2024-12-31,IL,Abbas,674,69872.64,0.1367
2024-12-31,IL,Natura,371,31348.67,0.148
2024-12-31,IL,Piraki,209,23218.23,0.3201
2024-12-31,IL,Palma,408,28031.18,0.3016
2024-12-31,IL,Other Competitors,423,60633.75,0.0997
2024-12-31,PA,VanArsdel,151,15818.85,0.2343
2024-12-31,PA,Abbas,373,41013.01,0.1041
2024-12-31,PA,Natura,353,40971.03,0.1798
2024-12-31,PA,Piraki,588,55958.55,0.1501
2024-12-31,PA,Palma,304,27770.38,0.0569
2024-12-31,PA,Other Competitors,409,55139.39,0.1564
2024-12-31,OH,VanArsdel,56,8452.49,0.1291
2024-12-31,OH,Abbas,166,14496.58,0.2716
2024-12-31,OH,Natura,251,27043.74,0.1747
2024-12-31,OH,Piraki,166,13832.3,0.2675
2024-12-31,OH,Palma,821,50900.29,0.099
2024-12-31,OH,Other Competitors,403,53055.0,0.1548
2024-12-31,GA,VanArsdel,740,49648.31,0.1434
2024-12-31,GA,Abbas,51,6520.27,0.1703
2024-12-31,GA,Natura,547,66209.42,0.2986
2024-12-31,GA,Piraki,385,26424.4,0.3416
2024-12-31,GA,Palma,440,58799.58,0.0539
2024-12-31,GA,Other Competitors,254,31584.62,0.0734
2024-12-31,NC,VanArsdel,511,47550.49,0.0553
2024-12-31,NC,Abbas,289,22698.17,0.0836
2024-12-31,NC,Natura,705,52365.27,0.1333
2024-12-31,NC,Piraki,748,72367.89,0.1676
2024-12-31,NC,Palma,420,59290.33,0.0575
2024-12-31,NC,Other Competitors,347,38617.91,0.1456
2024-12-31,MI,VanArsdel,427,62930.58,0.333
2024-12-31,MI,Abbas,343,24948.69,0.3372
2024-12-31,MI,Natura,556,39397.14,0.2621
2024-12-31,MI,Piraki,343,26331.52,0.3138
2024-12-31,MI,Palma,304,17185.94,0.1308
2024-12-31,MI,Other Competitors,810,50520.91,0.1915
